9 января; Соединение оптимистичного Солнца и общительной Венеры. Это время вам стоит посвятить отдыху или общению. Вероятны интересные знакомства; возобновление старых деловых контактов и; возможно; головокружительная любовь. Во всех сферах жизни вам будет сопутствовать удача. Прекрасный аспект для выступлений и презентаций; так как позволяет отлично выглядеть и уверенно чувствовать себя на публике.;;;;;;;
12 января; Квадратура Марса с мастером иллюзий Нептуном. Внимательно следите за поведением окружающих: возможно; один из знакомых вас обманывает. Не принимайте скоропалительных решений и ограничьте прием горячительных напитков. Побудьте в это время наедине с собой. Если у вас масса рутинной работы; то часть её стоит отложить; так как аспект провоцирует хаотичную; лихорадочную деятельность; но даёт мало результата и много ошибок.;;;;;;
16 января; Соединение Солнца и властного Плутона. Этот аспект символизирует тайную власть. Вы будете обладать скрытой силой и при желании воздействовать на людей. Подходящее время для исполнения планов. Вам будет сопутствовать успех и; кажется; все окружающие прислушиваются к вашим словам. Вы сможете убедить самого несговорчивого начальника; доказать свою правоту в споре и добиться признания коллектива.;;;;;;;;
23 января; Соединение жизнелюбивого Солнца и непоседливого Меркурия. Возможно; вам захочется что-то поменять в своей жизни или отправиться в путешествие. Постарайтесь не упустить возможность повидать мир. Встречи со старыми друзьями и новые знакомства принесут выгоду; пускай и нематериальную. Творческим личностям этот аспект помогает формировать уникальный взгляд на мир; но если ваше дело связано с беспристрастным анализом информации или каких-либо событий; то вам будет не хватать объективности.;;;;;;;
14 января; Ретроградный Меркурий. Старайтесь закончить старые дела и отложите новые проекты. Ведите себя дипломатично и не поддавайтесь на провокации. Будьте осторожны за рулем. Самое время навестить старых друзей; заняться самоанализом; избавиться от вредных привычек.;;;;;;;;;
;;;;;;;;;;;;
1 февраля; Ретроградный Меркурий. Старайтесь закончить старые дела и отложите новые проекты. Ведите себя дипломатично и не поддавайтесь на провокации. Будьте осторожны за рулем. Самое время навестить старых друзей; заняться самоанализом; избавиться от вредных привычек.;;;;;;;;;
4 февраля; Соединение Солнца и организованного Сатурна. Этот аспект позволяет взять себя в руки; даёт самообладание. Ваши усилия увенчаются успехом. Это очень благоприятный момент для начинаний в профессиональной сфере и не только – любой проект; возникший сейчас; будет успешно реализован. Особенно если вы воспользуетесь помощью друзей и знакомых.;;;;;;;;
8 февраля;" Тригон агрессивного Марса и импульсивного Урана. Высокий и ""рваный"""; непредсказуемый ритм жизни в этот период может привести к стрессу. Занятия активными видами спорта помогут сбросить накопленный негатив и успокоить нервы. Старайтесь чаще отдыхать; релаксировать; бывать на природе и общаться с приятными людьми.;;;;;;;;
11 февраля; Соединение сообразительного Меркурия и таинственного Плутона. Это очень благоприятное время для обучения: знания будут усваиваться быстрее и дольше оставаться в памяти. В этот период вы сможете успешно доказывать свою точку зрения коллегам по работе – ваши аргументы будут признаны убедительными.;;;;;;;;;;;
18 февраля; Щедрый Юпитер в секстиле с независимым Ураном. Этот аспект в гороскопе повышает вашу независимость в мышлении и передвижении. Хорошее время для путешествий и учебы. Возможно повышение зарплаты или новая должность.;;;;;;;;;;;
;;;;;;;;;;;;
3 марта; Чувственная Венера в соединении с властным Плутоном. В этот период вы становитесь более чувствительным; усилится желание эмоциональной связи. Возможно интересное романтическое знакомство; перерастание дружбы или рабочих отношений в любовь. Это хороший момент; чтобы позаботиться о ком-то из близких; встречаться с друзьями или обсудить сложные вопросы с коллегами. Также очень успешное время для решения финансовых вопросов; но старайтесь не терять бдительности.;;;;;;
5 марта; Жизнелюбивое Солнце в соединении со щедрым Юпитером. Это соединение в гороскопе расширит ваши возможности; привлечет социальный успех и финансовый достаток. Будьте активнее; смело используйте это время для новых больших проектов и любых начинаний!;;;;;;;;;
13 марта; Солнце в соединении с мечтательным Нептуном. Этот аспект усиливает потребность в гармонии с собой и окружающим миром. Это период мира и покоя. Посвятите его отдыху; медитации; общению с природой и с самыми дорогими людьми.;;;;;;;;;
22 марта;Квадрат решительного Марса и взбалмошного Урана. Этот аспект в марте 2022 года усилит вашу индивидуальность и стремление к свободе самовыражения. Вас будут раздражать любые препятствия и ограничения. Некоторые события могут заставить вас понервничать. Старайтесь держать эмоции под контролем. Действуйте обдуманно.;;;;;;;;;;;
;;;;;;;;;;;;
5 апреля; Энергичный Марс в соединении с дисциплинированным Сатурном. Вас ожидает медленный; но уверенный прогресс в делах. Старайтесь контролировать себя и обращать меньше внимания на недостатки окружающих. Возможны контакты со старыми друзьями. В этот день вам не стоит рисковать; осторожность обеспечит стабильность и безопасность.;;;;;;;;;
12 апреля; Жизнелюбивый Юпитер в соединении с планетой фантазий Нептуном. Повышается потребность в новых впечатлениях. Прекрасное время для отдыха и развлечений. Новые начинания лучше отложить; сейчас вам сложно оценить риски будущего предприятия: слишком легко принять желаемое за действительное.;;;;;;;;;;
18 апреля; Интеллектуальный Меркурий в соединении с творческим Ураном. В это время в вашей голове могут рождаться новые идеи и озарения; творческие порывы; а в вашу жизнь - приходить неожиданные новости. Повышается импульсивность: старайтесь удержаться от необдуманных поступков. Чаще прислушивайтесь к своему внутреннему голосу.;;;;;;;;;
30 апреля; Частичное лунное затмение. Это затмение можно будет увидеть в Южной Америке и на островах Тихого океана. Явление приносит беспокойство и беспричинную тревогу. В это время наиболее подвержены негативным эмоциям и перепадам настроения будут представители знака Тельца.;;;;;;;;;;;
29 апреля; Ретроградный Плутон. Начало ретро-фазы – отличное время для отдыха или занятий медитацией. Займитесь переоценкой своих убеждений; освободитесь от ненужных идей и устаревших предрассудков.;;;;;;;;;;
1 мая; Ретроградный Плутон. Начало ретро-фазы – отличное время для отдыха или занятий медитацией. Займитесь переоценкой своих убеждений; освободитесь от ненужных идей и устаревших предрассудков.;;;;;;;;;;
;;;;;;;;;;;;
5 мая; Жизнерадостное Солнце в соединении с творческим Ураном. Это хороший период для работы в коллективе; отдыха в кругу друзей; новых знакомств. Вы сможете продемонстрировать свою уникальность и привлекать людей своими оригинальными взглядами на мир.;;;;;;;;;
15 мая;" Солнце в квадратуре со строгим Сатурном. Это время ""кармического возврата"". В этот день люди часто получают то"; что заслужили. Если какая-то возникшая проблема в этот период вдруг покажется вам неразрешимой; а ситуация – тупиковой; то будьте уверены: это ложное впечатление.;;;;;;;;
16 мая; Полное лунное затмение. Это явление можно будет наблюдать в Европе; Африке; Северной и Южной Америке. Затмение предрекает всем резкие перемены и неожиданности. Будьте осторожны в этот день; особенно в обращении с техникой и на дорогах.;;;;;;;;
18 мая; Отважный Марс в соединении с погруженным в себя Нептуном. В этот день не стоит связывать себя серьёзными обязательствами; хотя такое желание может возникнуть. Возможно; кто-то из близкого круга попытается вовлечь вас в сомнительные махинации. Отдыхайте; восстанавливайте силы; следите за душевным балансом.;;;;;;;
21 мая; Солнце в соединении со стремительным Меркурием. В этот день у вас может быть ощущение ускорения времени и событий; которые часто сменяют друг друга. Чтобы успеть всё; вам придется действовать быстро. Однако ни в коем случае не делайте поспешных выводов и категоричных высказываний – это может привести к конфликту.;;;;;;;;;
;;;;;;;;;;;;
12 июня; Любвеобильная Венера в соединении с непредсказуемым Ураном. В этот период возможна мгновенная симпатия; вспыхнувшая любовь с первого взгляда или неожиданная дружба. Старайтесь сохранить холодную голову в вихре эмоций. Ожидайте приятной финансовой прибыли.;;;;;;;;;;
